,证券简称,20211122,20211119,incr,quant
000861.SZ,海印股份,218131817,167971708.0,0.29862236680953447,50160109.0
300985.SZ,致远新能,89466973,68901071.0,0.2984845039636612,20565902.0
300893.SZ,松原股份,52415273,43542072.0,0.20378453740097613,8873201.0
601101.SS,昊华能源,238071719,200095316.0,0.1897915641363639,37976403.0
600563.SS,法拉电子,409793812,345261123.0,0.1869098044960018,64532689.0
002756.SZ,永兴材料,1092932952,923417983.0,0.18357338943008217,169514969.0
600188.SS,兖州煤业,276489859,235052406.0,0.17629027375282424,41437453.0
300916.SZ,朗特智能,55200869,47328897.0,0.16632485646137063,7871972.0
601890.SS,亚星锚链,359411713,308401558.0,0.16540174223114668,51010155.0
300991.SZ,创益通,38196033,32981040.0,0.15812093857561793,5214993.0
300118.SZ,东方日升,2137808667,1850045422.0,0.155543881019371,287763245.0
603939.SS,益丰药房,247976896,214976566.0,0.15350663848635482,33000330.0
002056.SZ,横店东磁,1369422788,1189495385.0,0.15126364109432844,179927403.0
000537.SZ,广宇发展,898089176,781001364.0,0.14992011204733302,117087812.0
000049.SZ,德赛电池,917473078,798389289.0,0.14915504333625895,119083789.0
000831.SZ,五矿稀土,2041580485,1785505376.0,0.143418839529722,256075109.0
300037.SZ,新宙邦,489072458,428837977.0,0.14045976389819592,60234481.0
300900.SZ,广联航空,167999278,147941806.0,0.1355767686113012,20057472.0
300774.SZ,倍杰特,35442380,31278350.0,0.13312818610956145,4164030.0
000875.SZ,吉电股份,1073060309,950519878.0,0.12891937752826244,122540431.0
