sid,R_Squared,F_Value,F_P_value,Last Resid,Last Fitted Value,percent,deviation
000008,0.9175335197159498,1780.1822346351005,1.3527589626689128e-259,-0.03102267082837251,2.7510226708283727,-0.011276777598866947,-3.394048896767096
002307,0.9050911688852489,1522.6495602987568,1.9326993730834565e-244,-0.3782993820670608,4.628299382067061,-0.08173615205896798,-11.637024252207624
603077,0.9397579424232777,2495.951779140832,2.5453957590334298e-292,-0.06307146263852337,3.4330714626385235,-0.018371730191147587,-1.962481862592034
600633,0.9206055886478447,1855.255195864068,1.4960177883719996e-263,-0.4227672773004425,8.692767277300442,-0.04863437198007374,-4.728930938960925
600691,0.9111615078526784,1641.0211129503475,7.716257497949312e-252,-0.016665850396918813,4.9466658503969185,-0.003369107779047083,-0.24811218151690642
600855,0.9199860657135067,1839.6517035034576,9.659559927403332e-263,-1.3375604336783837,18.827560433678382,-0.07104268438760558,-4.224758907924309
600010,0.9785630061812756,7303.7330846382865,0.0,-0.20725643619058287,3.0472564361905827,-0.06801411057143487,-8.198825039643106
601600,0.9113401059762766,1644.6491230543038,4.760976949882618e-252,0.01456284209635239,6.195437157903648,0.0023505753872064173,0.13363901785101442
600151,0.9172078157371418,1772.5495688338592,3.4833348783868963e-259,-1.4897386428188177,14.179738642818817,-0.10506107907519724,-5.155260095902654
600509,0.917838578646326,1787.3859795007713,5.559152791674403e-260,-0.5565487846461057,6.886548784646106,-0.08081679256915426,-4.877435658859545
600733,0.9136214522912038,1692.3117630942384,9.143703521531076e-255,-0.6262901238577445,10.906290123857744,-0.057424671152633416,-1.2651485498935735
002115,0.912160475176606,1626.8888225240287,9.681664026446938e-248,-0.27333060123651975,6.18333060123652,-0.044204429435142946,-1.3221505282868635
002467,0.9588198915898729,3725.371024439864,0.0,-0.16802966657678553,4.938029666576785,-0.03402767458326543,-1.9488755524400199
600410,0.9296072082303017,2112.960000271996,4.3074652743925465e-276,-0.6431215778625514,7.353121577862551,-0.08746238873551956,-1.602161335203935
002145,0.9162028284546728,1749.3723218742948,6.300324174989187e-258,-1.8721209837785864,14.132120983778586,-0.13247275380160428,-1.8907457485281984
002617,0.9654095704959881,4465.556903866796,0.0,-1.6656659436394339,15.795665943639435,-0.10545082110388393,-2.4931524307067865
600773,0.9686164634165941,4938.214459507415,0.0,-3.3263762290832695,28.85637622908327,-0.11527352577731982,-1.118853644367918
600418,0.937230416287005,2389.0052750959308,4.8869901749967145e-288,-0.28999719299354965,18.78999719299355,-0.015433594269065903,-0.3859268406992282
002497,0.9254000073047799,1984.7723279770762,4.828186948955406e-270,-4.0062865019265885,30.746286501926587,-0.13030147564895525,-1.0728437635725876
000829,0.9540062536007302,3318.733795917532,1.909e-320,-3.1446625010520854,21.614662501052084,-0.14548746717183395,-2.0986148186500224
002326,0.9464856506675962,2829.8522918808508,1.1593274326093533e-304,-14.498506382268594,64.22850638226859,-0.225733201640684,-0.9239591197160417
600096,0.9660107757287146,4547.374276122282,0.0,-1.7520414276668603,21.35204142766686,-0.08205498446610619,-0.6650624961203181
600141,0.962861993745881,4148.254969456107,0.0,-5.729463077557988,44.779463077557985,-0.12794845413029102,-0.8824306479988826
000966,0.9724956492714507,5527.615903507238,0.0,-0.4911472798444345,7.851147279844435,-0.06255738968307398,-1.228744308163582
002234,0.953740343748073,3298.7373310482653,7.6136e-320,-0.9318219999072497,17.511821999907248,-0.05321102509562883,-0.7381198959538352
002518,0.9305493235266988,2143.7932547929695,1.6983629997813646e-277,-0.750515428002597,25.970515428002596,-0.028898749818163292,-0.32302104092462797
600089,0.9647627673630981,4380.65169216612,0.0,-0.905179296947253,21.575179296947255,-0.0419546593096137,-0.5729127113396544
600549,0.9233382943253208,1927.0915744944966,3.348329669832227e-267,-0.47312726721006726,22.973127267210067,-0.020594813309782592,-0.34472161014501784
002407,0.9831875727417937,9356.769800262035,0.0,-5.4849181839094285,50.18491818390943,-0.10929415414824833,-0.46078268048491056
002240,0.9577101261214285,3623.4116143125416,0.0,-4.793877233672852,61.19387723367285,-0.07833916480511793,-0.3252628024241901
002176,0.9496432436312924,1188.0734317103295,2.3727187386510095e-122,-1.7015322175733907,21.70153221757339,-0.0784060867460561,-0.24244721734865993
600196,0.9228588972989268,1914.1212453237865,1.4944572840885897e-266,-2.78351155328739,52.50351155328739,-0.0530157216334439,-0.3197680041288658
600111,0.9416864646864942,2583.788369883703,1.0348954789348447e-295,-3.598737507322049,49.81873750732205,-0.07223662596413907,-0.34222135969249795
603026,0.9384416355153775,2439.1593724028953,4.554057493765636e-290,-33.353188022218035,233.35318802221803,-0.1429300722432916,-0.09872026770964126
