,证券简称,20210908,20210907,incr,quant
603222.SS,济民医疗,37939188,24552590.0,0.5452214206322021,13386598.0
600121.SS,郑州煤电,84397990,58062731.0,0.4535656271490227,26335259.0
000761.SZ,本钢板材,319077633,220393285.0,0.44776476742474247,98684348.0
000681.SZ,视觉中国,637315128,470476699.0,0.354615710734699,166838429.0
600722.SS,金牛化工,160468409,119031550.0,0.3481166043792592,41436859.0
300969.SZ,恒帅股份,71710575,58550813.0,0.22475797219075333,13159762.0
600744.SS,华银电力,267400578,218971090.0,0.22116841086190875,48429488.0
601669.SS,中国电建,2615074240,2169557194.0,0.20534929765027443,445517046.0
600569.SS,安阳钢铁,194474111,163052666.0,0.1927073366589418,31421445.0
600863.SS,内蒙华电,440614794,371286822.0,0.18672349216854234,69327972.0
000852.SZ,石化机械,134782655,113984770.0,0.18246196399747094,20797885.0
600075.SS,新疆天业,1019113076,863311991.0,0.18046903856800478,155801085.0
600199.SS,金种子酒,344778602,294102026.0,0.17230951003377304,50676576.0
600395.SS,盘江股份,263001840,224593612.0,0.17101211231243751,38408228.0
600282.SS,南钢股份,413860844,353684966.0,0.17013976782943052,60175878.0
301004.SZ,嘉益股份,18566037,16013225.0,0.15941898024913792,2552812.0
002390.SZ,信邦制药,174809528,151009771.0,0.15760408642696366,23799757.0
000875.SZ,吉电股份,726617274,629486591.0,0.15430143292758403,97130683.0
600888.SS,新疆众和,516640813,451613120.0,0.14398982252774228,65027693.0
300870.SZ,欧陆通,64146148,56107228.0,0.1432777965790788,8038920.0
